[2016-11-17 03:54:22,957] [__main__] [INFO] LS0tLS1CRUdJTiBQVUJMSUMgS0VZLS0tLS0KTUlHZk1BMEdDU3FHU0liM0RRRUJBUVVBQTRHTkFEQ0JpUUtCZ1FDMEdHYU1qZGpYU0ZGM0dJL2Rvd1hzckFxYgpnbVFyTVBDUE5xRXNlY1N3L1Y2WWZLNHF2S2ZpT3BiaWtwSjBZRDVydW8zcWZSNHdxWjQwRXBGSUplQlFVTHlVCmJrMlVtdk85cGJSUDI2NlREQkNFRmxBWWZ0dStpV3AvVUUySC9qSHp4dWdVY1lCNzIyMUY4UFh3VFNiMlk0eFcKeFRpSHBET1R5c25aTkR4UzJ3SURBUUFCCi0tLS0tRU5EIFBVQkxJQyBLRVktLS0tLQ==
[2016-11-17 03:54:22,959] [__main__] [INFO] Server started
[2016-11-17 03:54:48,662] [__main__] [INFO] senz received:  SHARE #time 1479376483 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara uGJBZUAgzeyQr4f07RymX0w0OSTsBauYyor0BUCqIJqPWo3AN426eAAr05JSXGyBBxRAc+qfasucMS9TVRXDMOgEGk0oOb3On7WU674yBKuqbo0fkpqDkIXXcs7UqiwvGkmn+XIfo8k84WgO3uUKcSEdwQbdPHONEfsFE610H1k=
[2016-11-17 03:54:48,663] [myParser] [INFO] SHARE #time 1479376483 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara uGJBZUAgzeyQr4f07RymX0w0OSTsBauYyor0BUCqIJqPWo3AN426eAAr05JSXGyBBxRAc+qfasucMS9TVRXDMOgEGk0oOb3On7WU674yBKuqbo0fkpqDkIXXcs7UqiwvGkmn+XIfo8k84WgO3uUKcSEdwQbdPHONEfsFE610H1k=
[2016-11-17 03:54:53,635] [__main__] [INFO] senz received:  SHARE #time 1479376488 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara kZyl97CBnqcRV8B6guo9BfNS3c7J2RRrHM5E8Q0GuuandVwpeg/HkFiruYENGmm0Pj96qlh8aodBkJrqSohPHOvgBb3crBUjMVejaDVPif83xwm+ZGLF8v3NznO1edpWkocbGc/yIawDoFzAMs8IuEHlPcmfYuAbXS43RQYWM5E=
[2016-11-17 03:54:53,635] [myParser] [INFO] SHARE #time 1479376488 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara kZyl97CBnqcRV8B6guo9BfNS3c7J2RRrHM5E8Q0GuuandVwpeg/HkFiruYENGmm0Pj96qlh8aodBkJrqSohPHOvgBb3crBUjMVejaDVPif83xwm+ZGLF8v3NznO1edpWkocbGc/yIawDoFzAMs8IuEHlPcmfYuAbXS43RQYWM5E=
[2016-11-17 03:54:58,637] [__main__] [INFO] senz received:  SHARE #time 1479376493 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara XDeJiXtfnoTpp1MUy52qBniMdQbWSWqLpMxTQW6aAsXe2PKp7fSSH7VWhPtg9GgY+pMWddiCjt0tfbZphZM/DLYeiYKdfG51/Cspjdp6+7DPYAgOHBYiVl6tO0IyJukCoYRLqajJ+THSLw7afQHkDHiI/JpZntvsS8neoSuVWZ4=
[2016-11-17 03:54:58,637] [myParser] [INFO] SHARE #time 1479376493 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDCxw1sI8Qr3f04TtUcncyJKn8udj/cZ7XwmtKCCQaeIVuv3hvoYJnMKlxHLsgQxGPnveIfnzOdchptDsanXJaMtOhAz23Ym92vA1bneURjgDsi/JLgo3rz0zwtsYwV8iuz9OsstD45ZajmdvnKvhmAUX+2pPJYyjwE2+GYy+jRZQIDAQAB @mysensors ^udara XDeJiXtfnoTpp1MUy52qBniMdQbWSWqLpMxTQW6aAsXe2PKp7fSSH7VWhPtg9GgY+pMWddiCjt0tfbZphZM/DLYeiYKdfG51/Cspjdp6+7DPYAgOHBYiVl6tO0IyJukCoYRLqajJ+THSLw7afQHkDHiI/JpZntvsS8neoSuVWZ4=
[2016-11-17 03:56:21,413] [__main__] [INFO] senz received:  SHARE #time 1479376576 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDDksDHONbpn8AbzVM4wzACXAxqZFN4WnXyM1QWWOm11ih8PVZ7XTowFbP2+twtsVS0IA5x16K91jhpR1uRlF+ln/pFiL1t84mBIWbALobGX/HRqiou07Zgyh1Bts3V24eHEPya070DaFT3uoV/6KsHJIr95ZA4R5YbZlEgghvpDQIDAQAB @mysensors ^ccvnn X8KWTPSP9OZ0EPXPGf9X+04PNbqhqzjIXhvvn2cOgF5ZQ26uKFsWzW21usArMNL3n7KmcOW0a9pBfN8Yv6lvG0jaYM3YbJFD96hnel36iHMbnUaUCblmrW72POdfMP8ESzSlzJzgzxi3kkCeOpdWIT3ntbZHbN+qCtY5X35AQ5w=
[2016-11-17 03:56:21,413] [myParser] [INFO] SHARE #time 1479376576 #pubkey MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDDksDHONbpn8AbzVM4wzACXAxqZFN4WnXyM1QWWOm11ih8PVZ7XTowFbP2+twtsVS0IA5x16K91jhpR1uRlF+ln/pFiL1t84mBIWbALobGX/HRqiou07Zgyh1Bts3V24eHEPya070DaFT3uoV/6KsHJIr95ZA4R5YbZlEgghvpDQIDAQAB @mysensors ^ccvnn X8KWTPSP9OZ0EPXPGf9X+04PNbqhqzjIXhvvn2cOgF5ZQ26uKFsWzW21usArMNL3n7KmcOW0a9pBfN8Yv6lvG0jaYM3YbJFD96hnel36iHMbnUaUCblmrW72POdfMP8ESzSlzJzgzxi3kkCeOpdWIT3ntbZHbN+qCtY5X35AQ5w=
